id,submission_time,view_number,vote_number,title,message,image
<<<<<<< Updated upstream
0,1493368154,310,56,How to make lists in Python?,"I am totally new to this, any hints?",
1,1493068124,48,9,Wordpress loading multiple jQuery Versions,"I developed a plugin that uses the jquery booklet plugin (http://builtbywill.com/booklet/#/) this plugin binds a function to $ so I cann call $('.myBook').booklet();
=======
0,1493368154,30,7,How to make lists in Python?,"I am totally new to this, any hints?",
1,1493068124,28,9,Wordpress loading multiple jQuery Versions,"I developed a plugin that uses the jquery booklet plugin (http://builtbywill.com/booklet/#/) this plugin binds a function to $ so I cann call $('.myBook').booklet();
>>>>>>> Stashed changes

I could easy managing the loading order with wp_enqueue_script so first I load jquery then I load booklet so everything is fine.

BUT in my theme i also using jquery via webpack so the loading order is now following:

jquery
booklet
app.js (bundled file with webpack, including jquery)",images/image1.png
<<<<<<< Updated upstream
2,1493015432,1714,55,Drawing canvas with an image picked with Cordova Camera Plugin,"I'm getting an image from device and drawing a canvas with filters using Pixi JS. It works all well using computer to get an image. But when I'm on IOS, it throws errors such as cross origin issue, or that I'm trying to use an unknown format.

This is the code I'm using to draw the image (that works on web/desktop but not cordova built ios app)",
3,1559046033,139,1,teststst,etgandoinaofnsafdsafwafaw,
=======
2,1493015432,1391,57,Drawing canvas with an image picked with Cordova Camera Plugin,"I'm getting an image from device and drawing a canvas with filters using Pixi JS. It works all well using computer to get an image. But when I'm on IOS, it throws errors such as cross origin issue, or that I'm trying to use an unknown format.

This is the code I'm using to draw the image (that works on web/desktop but not cordova built ios app)",
3,1559046033,32,0,teststst,etgandoinaofnsafdsafwafaw,
4,1559119738,57,7,Którędy na wałbrzych?,Bo jadę jutro i nie wiem czym nie za milyjony monet,
>>>>>>> Stashed changes
