id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,"You need to use brackets: my_list = []",
1,1493088154,35,0,"Look it up in the Python docs",
3,1559118987,0,3,Raaaaaaaaaaaafał,
3,1559119690,0,3,"Hej mordo, wszytko spoko",
4,1559119750,0,4,Na wałbrzyyyych!!!1,
4,1559123897,0,4,Raaaaaaafał,
4,1559123956,0,4,Raaaaaaafał,
4,1559124095,0,4,"RAAAAaaaaaaaaaaaaaa
",
4,1559127816,0,4,Asfsafasfasda,
1,1559130306,0,1,asdadaasdasadasdadasd,
3,1559134259,0,3,"kurwa kuraw asfioasnfowansfo easfsanmfmsafmsanflsanflsame nfwao 'fjfwosajpvjvdspofejqjwq30e2qrefwasmf 3qkf q
waefkwas] fsao nepoaj d98ewajf[owasldknmpwao uf9q 83whf;k;owafa2n pihfwa]sofjm;ckjnvp9sahf;ldn pvuhds-d 0eoiuf[f [qa
foinwa[j[fojsmfpoasjf poakspf a",
